ror_id,field,change
https://ror.org/00tvate34,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/00tvate34,external_ids,"{insert: [(0, {'all': ['501100014750'], 'preferred': '501100014750', 'type': 'fundref'})]}"
https://ror.org/01pxwe438,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/01pxwe438,external_ids,"{0: {'all': {insert: [(6, '100018482')]}}}"
https://ror.org/05b9pgt88,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/05b9pgt88,external_ids,"{0: {'all': {insert: [(1, '501100010489')]}, 'preferred': [None, '501100010489']}}"
https://ror.org/05kb8h459,admin,"{'last_modified': {'date': ['2025-03-17', '2025-05-01']}}"
https://ror.org/05kb8h459,external_ids,"{0: {'all': {insert: [(4, '501100009984')]}, 'preferred': [None, '501100009984']}}"
https://ror.org/02vm5rt34,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/02vm5rt34,external_ids,"{0: {'all': {insert: [(7, '100010901')]}}}"
https://ror.org/046e90j34,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/046e90j34,external_ids,"{insert: [(0, {'all': ['501100015773'], 'preferred': '501100015773', 'type': 'fundref'})]}"
https://ror.org/003kmcj19,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/003kmcj19,external_ids,"{insert: [(0, {'all': ['501100020309'], 'preferred': '501100020309', 'type': 'fundref'})]}"
https://ror.org/04htnem03,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04htnem03,external_ids,"{insert: [(0, {'all': ['100020381'], 'preferred': '100020381', 'type': 'fundref'})]}"
https://ror.org/032va1j59,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/032va1j59,external_ids,"{insert: [(0, {'all': ['100011527'], 'preferred': None, 'type': 'fundref'})]}"
https://ror.org/04qzfn040,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04qzfn040,external_ids,"{0: {'all': {insert: [(1, '501100024216')]}}}"
https://ror.org/032n1tr36,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/032n1tr36,external_ids,"{0: {'all': {insert: [(1, '501100021797')]}}}"
https://ror.org/04bynv497,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04bynv497,external_ids,"{insert: [(0, {'all': ['501100008877'], 'preferred': None, 'type': 'fundref'})]}"
https://ror.org/03kgsv495,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03kgsv495,external_ids,"{0: {'all': {insert: [(3, '501100011735')]}}}"
https://ror.org/04p800546,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/04p800546,external_ids,"{0: {'all': {insert: [(1, '501100019397')]}}}"
https://ror.org/0324q6b35,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/0324q6b35,external_ids,"{insert: [(0, {'all': ['100013092'], 'preferred': '100013092', 'type': 'fundref'})]}"
https://ror.org/035b05819,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/035b05819,external_ids,"{0: {'all': {insert: [(5, '501100020816')]}}}"
https://ror.org/03xk7zy09,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
https://ror.org/03xk7zy09,external_ids,"{0: {'all': {insert: [(1, '100014285')]}, 'preferred': [None, '100014285']}}"
https://ror.org/04z6c2n17,admin,"{'last_modified': {'date': ['2024-12-11', '2025-05-01']}}"
